region,disaggregation,disagg.value,section,under_5_stunting_track_No data,under_5_stunting_track_No progress or worsening,under_5_stunting_track_Some progress,under_5_stunting_track_On course,anaemia_track_No data,anaemia_track_No progress or worsening,anaemia_track_Some progress,anaemia_track_On course,lbw_track_No data,lbw_track_No progress or worsening,lbw_track_Some progress,lbw_track_On course,under_5_overweight_track_No data,under_5_overweight_track_Off course,under_5_overweight_track_On course,ebf_track_No data,ebf_track_No progress or worsening,ebf_track_Some progress,ebf_track_On course,under_5_wasting_track_No data,under_5_wasting_track_No progress or worsening,under_5_wasting_track_Some progress,under_5_wasting_track_On course,sodium_track_No data,sodium_track_Off course,sodium_track_On course,rbp_female_track_No data,rbp_female_track_Off course,rbp_female_track_On course,rbp_male_track_No data,rbp_male_track_Off course,rbp_male_track_On course,adult_fem_obesity_track_No data,adult_fem_obesity_track_Off course,adult_fem_obesity_track_On course,adult_mal_obesity_track_No data,adult_mal_obesity_track_Off course,adult_mal_obesity_track_On course,adult_fem_diabetes_track_No data,adult_fem_diabetes_track_Off course,adult_fem_diabetes_track_On course,adult_mal_diabetes_track_No data,adult_mal_diabetes_track_Off course,adult_mal_diabetes_track_On course
Africa,all,,Overview,,10,38,6,,37,17,17,18,12,24,,1,25,28,14,7,13,20,13,10,12,19,1,53,,1,53,,1,53,,,53,,,53,,,53,,,53,
Asia,all,,Overview,4,5,18,21,1,44,3,,11,17,17,3,4,15,29,17,12,9,10,15,11,8,14,1,47,,,34,14,,44,4,,48,,,48,,,45,3,,48,
Australia and New Zealand,all,,Overview,1,,,1,,2,,,,1,1,,1,1,,2,,,,2,,,,,2,,,,2,,,2,,2,,,2,,,1,1,,1,1
Caribbean,all,,Overview,6,3,2,2,,11,2,,7,6,,,6,1,6,10,3,,,10,,,3,1,12,,,12,1,,13,,,13,,,13,,,13,,,13,
Central America,all,,Overview,,1,6,1,,5,2,1,,7,1,,,1,7,3,1,2,2,3,,,5,,8,,,8,,,8,,,8,,,8,,,8,,,8,
Central Asia,all,,Overview,,,,5,,4,1,,,1,2,2,,,5,1,2,2,,,,1,4,,5,,,5,,,5,,,5,,,5,,,5,,,5,
Eastern Africa,all,,Overview,,4,12,2,,15,3,,6,3,9,,,3,15,6,3,4,5,7,,2,9,1,17,,1,17,,1,17,,,17,,,17,,,17,,,17,
Eastern Asia,all,,Overview,,,,5,,5,,,1,3,1,,,4,1,2,2,,1,2,,,3,1,4,,,3,2,,4,1,,5,,,5,,,4,1,,5,
Eastern Europe,all,,Overview,3,,2,5,1,9,,,,8,2,,3,1,6,9,1,,,10,,,,,10,,,8,2,,10,,,10,,,10,,,10,,,10,
Europe,all,,Overview,25,2,3,13,2,41,,,1,25,5,12,25,3,15,38,4,1,,39,,,4,4,39,,3,19,21,3,25,15,,40,,,40,,,25,15,,34,6
Global,all,,Overview,39,28,74,53,3,161,29,1,48,82,49,15,39,50,105,98,33,28,35,94,23,20,57,10,184,,4,145,45,4,167,23,,190,,,190,,,171,19,,182,8
Latin America and the Caribbean,all,,Overview,6,7,11,9,,23,9,1,7,24,2,,6,4,23,19,8,4,2,15,2,,16,1,32,,,26,7,,32,1,,33,,,33,,,33,,,33,
Melanesia,all,,Overview,,2,2,,,4,,,3,1,,,,1,3,2,,,2,3,,,1,,4,,,4,,,4,,,4,,,4,,,4,,,4,
Micronesia,all,,Overview,2,,2,1,,5,,,5,,,,2,1,2,4,1,,,5,,,,2,3,,,5,,,5,,,5,,,5,,,5,,,4,1
Middle Africa,all,,Overview,,2,6,1,,4,5,,2,2,5,,,5,4,3,,2,4,2,1,3,3,,9,,,9,,,9,,,9,,,9,,,9,,,9,
North America,all,,Overview,1,,,1,,2,,,,2,,,,,2,1,,1,,1,,,1,,2,,,1,1,,1,1,,2,,,2,,,2,,,2,
Northern Africa,all,,Overview,,2,4,,,5,1,,3,3,,,,2,4,1,2,2,1,1,2,,3,,6,,,6,,,6,1,,6,,,6,,,6,,,6,
Northern America,all,,Overview,1,,,1,,2,,,,2,,,,,2,1,,1,,1,,,1,,2,,,1,1,,1,1,,2,,,2,,,2,,,2,
Northern Europe,all,,Overview,9,,,1,,10,,,,3,,7,9,,1,10,,,,10,,,,,10,,,3,7,,4,6,,10,,,10,,,5,5,,5,5
Oceania,all,,Overview,3,4,4,3,,14,,,11,2,1,,3,3,8,9,2,,3,11,,,3,3,11,,,12,2,,12,2,,14,,,14,,,13,1,,12,2
Polynesia,all,,Overview,,2,1,,,3,,,3,,,,,,3,1,1,,1,1,,,2,1,2,,,3,,,3,,,3,,,3,,,3,,,3,
South America,all,,Overview,,3,3,6,,7,5,,,11,1,,,2,10,6,4,2,,3,2,,8,,12,,,6,6,,11,1,,12,,,12,,,12,,,12,
South-eastern Asia,all,,Overview,,1,7,3,,10,1,,1,3,6,1,,5,6,3,2,3,3,2,5,4,,,11,,,10,1,,10,1,,11,,,11,,,9,2,,11,
Southern Africa,all,,Overview,,1,3,1,,5,,,,3,2,,,1,4,3,,1,1,2,,,3,,5,,,5,,,5,,,5,,,5,,,5,,,5,
Southern Asia,all,,Overview,,1,5,3,,9,,,4,,5,,,2,7,1,1,2,5,2,4,3,,,9,,,8,1,,9,,,9,,,9,,,9,,,9,
Southern Europe,all,,Overview,7,2,1,4,,14,,,,9,,5,7,,7,10,3,1,,10,,,4,2,12,,,7,6,1,9,4,,13,,,13,,,9,4,,13,
Western Africa,all,,Overview,,1,13,2,,8,8,,7,1,8,,1,14,1,1,2,4,9,1,7,7,1,,16,,,16,,,16,,,16,,,16,,,16,,,16,
Western Asia,all,,Overview,4,3,6,5,1,16,1,,5,10,3,,4,4,10,10,5,2,1,9,2,,7,,18,,,8,10,,16,2,,18,,,18,,,18,,,18,
Western Europe,all,,Overview,6,,,3,1,8,,,1,5,3,,6,2,1,9,,,,9,,,,2,7,,2,1,6,2,2,5,,7,,,7,,,1,6,,6,1
